Date de production;Centre de charge;Equipe;Code article;Désignation article;Temps d'ouverture (mn);Arrêts planifiés (mn);Arrêts panne (mn);Arrêts changement de série (mn);Arrêts réglage (mn);Arrêts manque composant (mn);Arrêts effectif (mn);Autres arrêts (mn);Nb interventions maintenance;Cadence théorique (p/mn);Qté lancée;Qté bonne 1er passage;Qté retouchée;Qté rebutée;Qté au programme;Effectif théorique;Effectif présent;Accidents AT;Presqu'accidents
01/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;40;41;30;0;0;0;0;1;15,0;4732;4627;42;63;5020;12;11;0;1
01/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;24;0;11;22;0;0;1;15,0;5429;5325;41;63;5366;12;12;0;0
01/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;40;43;28;12;17;0;20;1;9,0;2779;2737;16;26;2809;8;8;0;0
01/10/2025;LU-02 Usinage;Après-midi;ART-51210;Support moteur S12;480;40;0;0;0;16;18;0;0;9,0;3416;3375;16;25;3495;8;8;0;0
01/10/2025;LU-02 Usinage;Nuit;ART-51210;Support moteur S12;450;40;38;0;0;0;38;16;1;9,0;2590;2566;9;15;2682;8;8;0;0
01/10/2025;LC-03 Conditionnement;Matin;ART-62400;Kit conditionné K4;480;40;38;37;10;0;23;0;1;22,0;6975;6919;22;34;7306;6;6;0;0
02/10/2025;LA-01 Assemblage;Matin;ART-40130;Carter aluminium A30;480;40;22;0;0;0;32;11;1;12,5;4242;4203;15;24;4393;12;12;0;0
02/10/2025;LA-01 Assemblage;Après-midi;ART-40130;Carter aluminium A30;480;40;33;17;0;31;0;11;1;12,5;3806;3783;9;14;3991;12;12;0;0
02/10/2025;LU-02 Usinage;Matin;ART-51810;Support moteur S18;480;40;45;17;0;0;0;0;1;7,5;2537;2486;20;31;2694;8;8;0;0
02/10/2025;LU-02 Usinage;Après-midi;ART-51810;Support moteur S18;480;40;0;39;7;0;17;0;0;7,5;2445;2403;16;26;2419;8;8;0;0
02/10/2025;LU-02 Usinage;Nuit;ART-51810;Support moteur S18;450;40;46;0;8;11;0;17;1;7,5;2349;2316;13;20;2352;8;8;0;0
02/10/2025;LC-03 Conditionnement;Matin;ART-62600;Kit conditionné K6;480;40;20;0;19;0;34;19;1;18,0;5543;5470;29;44;5611;6;5;0;0
03/10/2025;LA-01 Assemblage;Matin;ART-40120;Carter aluminium A20;480;109;43;0;11;21;0;12;1;15,0;4068;4011;22;35;4073;12;12;0;0
03/10/2025;LA-01 Assemblage;Après-midi;ART-40120;Carter aluminium A20;480;40;51;20;10;16;23;0;1;15,0;4440;4391;19;30;4500;12;12;0;0
03/10/2025;LU-02 Usinage;Matin;ART-51210;Support moteur S12;480;110;43;20;0;0;25;0;1;9,0;2398;2381;6;11;2486;8;8;0;0
