Date;Heure début;Heure fin;Centre de charge;Equipe;Code motif d'arrêt;Libellé motif;Durée (mn)
01/10/2025;06:57;07:37;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
01/10/2025;08:01;08:42;LA-01 Assemblage;Matin;MA-10;Panne mécanique;41
01/10/2025;09:10;09:40;LA-01 Assemblage;Matin;CS-10;Changement de série;30
01/10/2025;13:33;14:13;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
01/10/2025;14:51;15:15;LA-01 Assemblage;Après-midi;MA-30;Défaut automatisme;24
01/10/2025;15:24;15:35;LA-01 Assemblage;Après-midi;RG-10;Réglage qualité en cours de série;11
01/10/2025;16:04;16:26;LA-01 Assemblage;Après-midi;AP-20;Composant non conforme;22
01/10/2025;06:57;07:37;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
01/10/2025;08:02;08:14;LU-02 Usinage;Matin;RG-10;Réglage qualité en cours de série;12
01/10/2025;08:47;09:04;LU-02 Usinage;Matin;AP-20;Composant non conforme;17
01/10/2025;09:38;09:58;LU-02 Usinage;Matin;LO-10;Attente cariste, évacuation en-cours;20
01/10/2025;10:35;11:18;LU-02 Usinage;Matin;MA-20;Panne électrique ou capteur;43
01/10/2025;11:32;12:00;LU-02 Usinage;Matin;CS-20;Attente outillage;28
01/10/2025;13:37;14:17;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
01/10/2025;14:32;14:48;LU-02 Usinage;Après-midi;AP-10;Rupture d'approvisionnement;16
01/10/2025;15:18;15:36;LU-02 Usinage;Après-midi;MO-20;Accompagnement, formation au poste;18
01/10/2025;21:46;22:26;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
01/10/2025;22:43;23:21;LU-02 Usinage;Nuit;MO-10;Absence non remplacée;38
01/10/2025;23:45;00:01;LU-02 Usinage;Nuit;LO-20;Saturation aval;16
01/10/2025;00:27;01:05;LU-02 Usinage;Nuit;MA-30;Défaut automatisme;38
01/10/2025;06:56;07:36;LC-03 Conditionnement;Matin;PL-10;Pause légale et relève de poste;40
01/10/2025;08:10;08:33;LC-03 Conditionnement;Matin;MO-20;Accompagnement, formation au poste;23
01/10/2025;08:47;09:25;LC-03 Conditionnement;Matin;MA-10;Panne mécanique;38
01/10/2025;09:47;10:24;LC-03 Conditionnement;Matin;CS-10;Changement de série;37
01/10/2025;10:48;10:58;LC-03 Conditionnement;Matin;RG-20;Micro-arrêts, bourrage;10
02/10/2025;06:39;07:19;LA-01 Assemblage;Matin;PL-10;Pause légale et relève de poste;40
02/10/2025;07:53;08:25;LA-01 Assemblage;Matin;MO-10;Absence non remplacée;32
02/10/2025;08:59;09:10;LA-01 Assemblage;Matin;LO-20;Saturation aval;11
02/10/2025;09:43;10:05;LA-01 Assemblage;Matin;MA-30;Défaut automatisme;22
02/10/2025;13:35;14:15;LA-01 Assemblage;Après-midi;PL-10;Pause légale et relève de poste;40
02/10/2025;14:24;14:35;LA-01 Assemblage;Après-midi;LO-10;Attente cariste, évacuation en-cours;11
02/10/2025;14:53;15:26;LA-01 Assemblage;Après-midi;MA-20;Panne électrique ou capteur;33
02/10/2025;15:45;16:02;LA-01 Assemblage;Après-midi;CS-20;Attente outillage;17
02/10/2025;16:27;16:58;LA-01 Assemblage;Après-midi;AP-10;Rupture d'approvisionnement;31
02/10/2025;06:28;07:08;LU-02 Usinage;Matin;PL-10;Pause légale et relève de poste;40
02/10/2025;07:44;08:29;LU-02 Usinage;Matin;MA-20;Panne électrique ou capteur;45
02/10/2025;08:41;08:58;LU-02 Usinage;Matin;CS-20;Attente outillage;17
02/10/2025;13:48;14:28;LU-02 Usinage;Après-midi;PL-10;Pause légale et relève de poste;40
02/10/2025;14:54;15:33;LU-02 Usinage;Après-midi;CS-10;Changement de série;39
02/10/2025;16:04;16:11;LU-02 Usinage;Après-midi;RG-20;Micro-arrêts, bourrage;7
02/10/2025;16:35;16:52;LU-02 Usinage;Après-midi;MO-10;Absence non remplacée;17
02/10/2025;21:36;22:16;LU-02 Usinage;Nuit;PL-10;Pause légale et relève de poste;40
02/10/2025;22:38;22:46;LU-02 Usinage;Nuit;RG-10;Réglage qualité en cours de série;8
